dataset: visdrone
root_dir: /home/twsf/data/Visdrone/density_mask
test_dir: 
input_size: (640, 480)
mean: [0.382, 0.383, 0.367]
std: [0.164, 0.156, 0.164]
num_classes: 5
resume: False
pre: /home/twsf/work/CRGNet/run/visdrone/20200227_235050_train/model_best.pth.tar
backbone: mobilenetv2
output_stride: 16
output_channels: 5
sync_bn: False
batch_size: 32
epochs: 200
freeze_bn: False
loss: {'type': 'CrossEntropyLoss', 'ignore_index': -1, 'weight': None}
use_balanced_weights: True
lr_scheduler: poly
lr: 0.0005
momentum: 0.9
decay: 0.0005
steps: [0.8, 0.9]
gamma: 0.3
workers: 1
region_thd: 0.5
print_freq: 50
plot_every: 100
saver_freq: 1
seed: 1
Epoch: [26][72/203] lr: (1x:0.00050, eta: 20:02:06, time: 98.7, Loss: 0.8896 
Epoch: [26][122/203] lr: (1x:0.00050, eta: 20:01:28, time: 98.4, Loss: 0.8882 
Epoch: [26][172/203] lr: (1x:0.00050, eta: 19:59:05, time: 98.0, Loss: 0.8879 
Epoch: [27][19/203] lr: (1x:0.00050, eta: 19:55:38, time: 97.7, Loss: 0.8887 
Epoch: [27][69/203] lr: (1x:0.00050, eta: 19:53:51, time: 98.3, Loss: 0.8870 
Epoch: [27][119/203] lr: (1x:0.00050, eta: 19:51:42, time: 97.9, Loss: 0.8864 
Epoch: [27][169/203] lr: (1x:0.00050, eta: 19:49:01, time: 98.2, Loss: 0.8848 
Epoch: [28][16/203] lr: (1x:0.00050, eta: 19:48:18, time: 98.0, Loss: 0.8846 
Epoch: [28][66/203] lr: (1x:0.00050, eta: 19:45:29, time: 98.0, Loss: 0.8845 
Epoch: [28][116/203] lr: (1x:0.00050, eta: 19:44:38, time: 98.4, Loss: 0.8844 
Epoch: [28][166/203] lr: (1x:0.00050, eta: 19:41:50, time: 97.7, Loss: 0.8837 
Epoch: [29][13/203] lr: (1x:0.00050, eta: 19:37:33, time: 97.7, Loss: 0.8833 
Epoch: [29][63/203] lr: (1x:0.00050, eta: 19:36:15, time: 98.3, Loss: 0.8819 
Epoch: [29][113/203] lr: (1x:0.00050, eta: 19:35:25, time: 98.4, Loss: 0.8813 
Epoch: [29][163/203] lr: (1x:0.00050, eta: 19:33:25, time: 98.0, Loss: 0.8811 
Epoch: [30][10/203] lr: (1x:0.00050, eta: 19:30:53, time: 97.2, Loss: 0.8812 
Epoch: [30][60/203] lr: (1x:0.00050, eta: 19:29:26, time: 98.4, Loss: 0.8813 
Epoch: [30][110/203] lr: (1x:0.00050, eta: 19:28:50, time: 98.9, Loss: 0.8794 
Epoch: [30][160/203] lr: (1x:0.00050, eta: 19:27:59, time: 98.7, Loss: 0.8790 
Epoch: [31][7/203] lr: (1x:0.00050, eta: 19:25:06, time: 97.5, Loss: 0.8778 
Epoch: [31][57/203] lr: (1x:0.00050, eta: 19:24:26, time: 98.5, Loss: 0.8762 
Epoch: [31][107/203] lr: (1x:0.00050, eta: 19:24:10, time: 98.9, Loss: 0.8768 
Epoch: [31][157/203] lr: (1x:0.00050, eta: 19:23:11, time: 98.9, Loss: 0.8768 
Epoch: [32][4/203] lr: (1x:0.00050, eta: 19:20:53, time: 98.2, Loss: 0.8753 
Epoch: [32][54/203] lr: (1x:0.00050, eta: 19:20:14, time: 98.9, Loss: 0.8751 
Epoch: [32][104/203] lr: (1x:0.00050, eta: 19:19:29, time: 98.0, Loss: 0.8739 
Epoch: [32][154/203] lr: (1x:0.00050, eta: 19:16:51, time: 97.5, Loss: 0.8719 
Epoch: [33][1/203] lr: (1x:0.00050, eta: 19:13:33, time: 97.4, Loss: 0.8723 
Epoch: [33][51/203] lr: (1x:0.00050, eta: 19:12:25, time: 99.1, Loss: 0.8718 
Epoch: [33][101/203] lr: (1x:0.00050, eta: 19:11:40, time: 98.3, Loss: 0.8721 
Epoch: [33][151/203] lr: (1x:0.00050, eta: 19:09:44, time: 98.3, Loss: 0.8719 
Epoch: [33][201/203] lr: (1x:0.00050, eta: 19:07:53, time: 98.7, Loss: 0.8708 
Epoch: [34][48/203] lr: (1x:0.00050, eta: 19:05:29, time: 98.5, Loss: 0.8697 
Epoch: [34][98/203] lr: (1x:0.00050, eta: 19:03:33, time: 97.9, Loss: 0.8688 
Epoch: [34][148/203] lr: (1x:0.00050, eta: 19:00:43, time: 97.8, Loss: 0.8682 
Epoch: [34][198/203] lr: (1x:0.00050, eta: 19:00:05, time: 98.9, Loss: 0.8676 
Epoch: [35][45/203] lr: (1x:0.00050, eta: 18:58:21, time: 98.1, Loss: 0.8676 
Epoch: [35][95/203] lr: (1x:0.00050, eta: 18:57:46, time: 98.4, Loss: 0.8666 
Epoch: [35][145/203] lr: (1x:0.00050, eta: 18:55:49, time: 98.8, Loss: 0.8666 
Epoch: [35][195/203] lr: (1x:0.00050, eta: 18:54:32, time: 98.6, Loss: 0.8660 
Epoch: [36][42/203] lr: (1x:0.00050, eta: 18:51:23, time: 97.0, Loss: 0.8663 
Epoch: [36][92/203] lr: (1x:0.00050, eta: 18:49:24, time: 98.4, Loss: 0.8654 
Epoch: [36][142/203] lr: (1x:0.00050, eta: 18:48:13, time: 98.9, Loss: 0.8645 
Epoch: [36][192/203] lr: (1x:0.00050, eta: 18:47:08, time: 98.4, Loss: 0.8652 
Epoch: [37][39/203] lr: (1x:0.00050, eta: 18:45:29, time: 98.0, Loss: 0.8640 
Epoch: [37][89/203] lr: (1x:0.00050, eta: 18:43:40, time: 98.7, Loss: 0.8634 
Epoch: [37][139/203] lr: (1x:0.00050, eta: 18:42:37, time: 98.6, Loss: 0.8632 
Epoch: [37][189/203] lr: (1x:0.00050, eta: 18:40:43, time: 98.2, Loss: 0.8627 
Epoch: [38][36/203] lr: (1x:0.00050, eta: 18:37:26, time: 97.6, Loss: 0.8612 
Epoch: [38][86/203] lr: (1x:0.00050, eta: 18:35:25, time: 98.3, Loss: 0.8601 
Epoch: [38][136/203] lr: (1x:0.00050, eta: 18:34:38, time: 97.8, Loss: 0.8596 
Epoch: [38][186/203] lr: (1x:0.00050, eta: 18:33:12, time: 98.5, Loss: 0.8602 
Epoch: [39][33/203] lr: (1x:0.00050, eta: 18:30:43, time: 97.5, Loss: 0.8607 
Epoch: [39][83/203] lr: (1x:0.00050, eta: 18:28:41, time: 98.1, Loss: 0.8599 
Epoch: [39][133/203] lr: (1x:0.00050, eta: 18:28:16, time: 99.1, Loss: 0.8596 
Epoch: [39][183/203] lr: (1x:0.00050, eta: 18:25:55, time: 98.0, Loss: 0.8592 
Epoch: [40][30/203] lr: (1x:0.00050, eta: 18:22:22, time: 97.5, Loss: 0.8582 
Epoch: [40][80/203] lr: (1x:0.00050, eta: 18:21:10, time: 98.6, Loss: 0.8577 
Epoch: [40][130/203] lr: (1x:0.00050, eta: 18:20:58, time: 98.9, Loss: 0.8585 
Epoch: [40][180/203] lr: (1x:0.00050, eta: 18:18:55, time: 97.9, Loss: 0.8575 
Epoch: [41][27/203] lr: (1x:0.00050, eta: 18:17:20, time: 98.3, Loss: 0.8575 
Epoch: [41][77/203] lr: (1x:0.00050, eta: 18:16:06, time: 98.9, Loss: 0.8555 
Epoch: [41][127/203] lr: (1x:0.00050, eta: 18:15:20, time: 98.3, Loss: 0.8553 
Epoch: [41][177/203] lr: (1x:0.00050, eta: 18:13:53, time: 98.2, Loss: 0.8546 
Epoch: [42][24/203] lr: (1x:0.00050, eta: 18:10:38, time: 98.2, Loss: 0.8549 
Epoch: [42][74/203] lr: (1x:0.00050, eta: 18:09:42, time: 98.7, Loss: 0.8537 
Epoch: [42][124/203] lr: (1x:0.00050, eta: 18:08:44, time: 98.1, Loss: 0.8540 
Epoch: [42][174/203] lr: (1x:0.00050, eta: 18:07:03, time: 98.5, Loss: 0.8545 
Epoch: [43][21/203] lr: (1x:0.00050, eta: 18:03:56, time: 97.6, Loss: 0.8521 
Epoch: [43][71/203] lr: (1x:0.00050, eta: 18:03:06, time: 98.7, Loss: 0.8531 
Epoch: [43][121/203] lr: (1x:0.00050, eta: 18:01:33, time: 98.3, Loss: 0.8516 
Epoch: [43][171/203] lr: (1x:0.00050, eta: 17:59:44, time: 98.8, Loss: 0.8522 
Epoch: [44][18/203] lr: (1x:0.00050, eta: 17:57:09, time: 97.4, Loss: 0.8515 
Epoch: [44][68/203] lr: (1x:0.00050, eta: 17:55:56, time: 98.7, Loss: 0.8508 
