dataset: visdrone
root_dir: /home/twsf/data/Visdrone/density_mask
test_dir: 
input_size: (640, 480)
mean: [0.382, 0.383, 0.367]
std: [0.164, 0.156, 0.164]
num_classes: 5
resume: False
pre: /home/twsf/work/CRGNet/run/visdrone/20200227_235050_train/model_best.pth.tar
backbone: mobilenetv2
output_stride: 16
output_channels: 5
sync_bn: False
batch_size: 32
epochs: 200
freeze_bn: False
loss: {'type': 'CrossEntropyLoss', 'ignore_index': -1, 'weight': None}
use_balanced_weights: False
lr_scheduler: poly
lr: 0.0005
momentum: 0.9
decay: 0.0005
steps: [0.8, 0.9]
gamma: 0.3
workers: 1
region_thd: 0.5
print_freq: 50
plot_every: 100
saver_freq: 1
seed: 1
Epoch: [19][143/203] lr: (1x:0.00050, eta: 20:45:59, time: 97.8, Loss: 0.4409 
Epoch: [19][193/203] lr: (1x:0.00050, eta: 20:43:51, time: 98.0, Loss: 0.4403 
Epoch: [20][40/203] lr: (1x:0.00050, eta: 20:42:11, time: 98.1, Loss: 0.4399 
Epoch: [20][90/203] lr: (1x:0.00050, eta: 20:40:23, time: 98.5, Loss: 0.4394 
Epoch: [20][140/203] lr: (1x:0.00050, eta: 20:39:44, time: 98.6, Loss: 0.4380 
Epoch: [20][190/203] lr: (1x:0.00050, eta: 20:37:55, time: 98.3, Loss: 0.4383 
Epoch: [21][37/203] lr: (1x:0.00050, eta: 20:35:41, time: 98.4, Loss: 0.4385 
Epoch: [21][87/203] lr: (1x:0.00050, eta: 20:34:00, time: 98.4, Loss: 0.4373 
Epoch: [21][137/203] lr: (1x:0.00050, eta: 20:34:07, time: 99.3, Loss: 0.4365 
Epoch: [21][187/203] lr: (1x:0.00050, eta: 20:32:28, time: 99.1, Loss: 0.4356 
Epoch: [22][34/203] lr: (1x:0.00050, eta: 20:30:40, time: 97.7, Loss: 0.4355 
Epoch: [22][84/203] lr: (1x:0.00050, eta: 20:30:01, time: 98.8, Loss: 0.4357 
Epoch: [22][134/203] lr: (1x:0.00050, eta: 20:28:01, time: 97.8, Loss: 0.4351 
Epoch: [22][184/203] lr: (1x:0.00050, eta: 20:26:24, time: 98.6, Loss: 0.4333 
Epoch: [23][31/203] lr: (1x:0.00050, eta: 20:24:13, time: 98.2, Loss: 0.4345 
Epoch: [23][81/203] lr: (1x:0.00050, eta: 20:22:34, time: 98.3, Loss: 0.4338 
Epoch: [23][131/203] lr: (1x:0.00050, eta: 20:20:42, time: 98.2, Loss: 0.4337 
Epoch: [23][181/203] lr: (1x:0.00050, eta: 20:19:15, time: 98.6, Loss: 0.4324 
Epoch: [24][28/203] lr: (1x:0.00050, eta: 20:15:04, time: 97.7, Loss: 0.4316 
Epoch: [24][78/203] lr: (1x:0.00050, eta: 20:12:35, time: 98.4, Loss: 0.4309 
Epoch: [24][128/203] lr: (1x:0.00050, eta: 20:11:42, time: 98.3, Loss: 0.4310 
Epoch: [24][178/203] lr: (1x:0.00050, eta: 20:08:39, time: 97.6, Loss: 0.4303 
Epoch: [25][25/203] lr: (1x:0.00050, eta: 20:08:11, time: 97.8, Loss: 0.4301 
Epoch: [25][75/203] lr: (1x:0.00050, eta: 20:06:30, time: 98.5, Loss: 0.4309 
Epoch: [25][125/203] lr: (1x:0.00050, eta: 20:04:58, time: 98.3, Loss: 0.4296 
Epoch: [25][175/203] lr: (1x:0.00050, eta: 20:03:40, time: 98.5, Loss: 0.4293 
Epoch: [26][22/203] lr: (1x:0.00050, eta: 20:00:31, time: 97.9, Loss: 0.4284 
Epoch: [26][72/203] lr: (1x:0.00050, eta: 19:58:10, time: 97.9, Loss: 0.4287 
Epoch: [26][122/203] lr: (1x:0.00050, eta: 19:57:57, time: 98.9, Loss: 0.4289 
Epoch: [26][172/203] lr: (1x:0.00050, eta: 19:56:33, time: 98.6, Loss: 0.4291 
Epoch: [27][19/203] lr: (1x:0.00050, eta: 19:54:01, time: 98.0, Loss: 0.4295 
Epoch: [27][69/203] lr: (1x:0.00050, eta: 19:53:09, time: 98.3, Loss: 0.4283 
Epoch: [27][119/203] lr: (1x:0.00050, eta: 19:52:09, time: 98.4, Loss: 0.4279 
Epoch: [27][169/203] lr: (1x:0.00050, eta: 19:50:52, time: 98.8, Loss: 0.4276 
Epoch: [28][16/203] lr: (1x:0.00050, eta: 19:48:00, time: 97.9, Loss: 0.4274 
Epoch: [28][66/203] lr: (1x:0.00050, eta: 19:46:25, time: 98.6, Loss: 0.4262 
Epoch: [28][116/203] lr: (1x:0.00050, eta: 19:45:20, time: 98.3, Loss: 0.4262 
Epoch: [28][166/203] lr: (1x:0.00050, eta: 19:44:25, time: 98.6, Loss: 0.4260 
Epoch: [29][13/203] lr: (1x:0.00050, eta: 19:41:50, time: 97.9, Loss: 0.4256 
Epoch: [29][63/203] lr: (1x:0.00050, eta: 19:39:52, time: 98.3, Loss: 0.4256 
Epoch: [29][113/203] lr: (1x:0.00050, eta: 19:39:22, time: 99.0, Loss: 0.4240 
Epoch: [29][163/203] lr: (1x:0.00050, eta: 19:38:07, time: 98.6, Loss: 0.4246 
Epoch: [30][10/203] lr: (1x:0.00050, eta: 19:35:32, time: 97.7, Loss: 0.4238 
Epoch: [30][60/203] lr: (1x:0.00050, eta: 19:33:32, time: 98.5, Loss: 0.4226 
