Val[Epoch: [63], mean_loss: 0.4385, mIoU: 0.7797, Acc: 0.9024, Acc_class: 0.8572, fwIoU: 0.8226, RRecall: 0.9447, RNum: 5.1]
Val[Epoch: [64], mean_loss: 0.4378, mIoU: 0.7792, Acc: 0.9024, Acc_class: 0.8558, fwIoU: 0.8224, RRecall: 0.9438, RNum: 5.2]
Val[Epoch: [65], mean_loss: 0.4382, mIoU: 0.7820, Acc: 0.9033, Acc_class: 0.8596, fwIoU: 0.8242, RRecall: 0.9485, RNum: 5.2]
Val[Epoch: [66], mean_loss: 0.4400, mIoU: 0.7755, Acc: 0.9007, Acc_class: 0.8529, fwIoU: 0.8194, RRecall: 0.9402, RNum: 5.2]
Val[Epoch: [67], mean_loss: 0.4386, mIoU: 0.7759, Acc: 0.9010, Acc_class: 0.8526, fwIoU: 0.8199, RRecall: 0.9380, RNum: 5.1]
Val[Epoch: [68], mean_loss: 0.4378, mIoU: 0.7764, Acc: 0.9011, Acc_class: 0.8536, fwIoU: 0.8201, RRecall: 0.9390, RNum: 5.2]
Val[Epoch: [69], mean_loss: 0.4385, mIoU: 0.7757, Acc: 0.9008, Acc_class: 0.8529, fwIoU: 0.8196, RRecall: 0.9400, RNum: 5.1]
Val[Epoch: [70], mean_loss: 0.4351, mIoU: 0.7834, Acc: 0.9039, Acc_class: 0.8610, fwIoU: 0.8252, RRecall: 0.9494, RNum: 5.2]
Val[Epoch: [71], mean_loss: 0.4364, mIoU: 0.7822, Acc: 0.9033, Acc_class: 0.8599, fwIoU: 0.8243, RRecall: 0.9489, RNum: 5.1]
Val[Epoch: [72], mean_loss: 0.4353, mIoU: 0.7839, Acc: 0.9039, Acc_class: 0.8623, fwIoU: 0.8255, RRecall: 0.9522, RNum: 5.2]
Val[Epoch: [73], mean_loss: 0.4356, mIoU: 0.7836, Acc: 0.9038, Acc_class: 0.8616, fwIoU: 0.8253, RRecall: 0.9510, RNum: 5.2]
Val[Epoch: [74], mean_loss: 0.4341, mIoU: 0.7828, Acc: 0.9037, Acc_class: 0.8600, fwIoU: 0.8249, RRecall: 0.9479, RNum: 5.1]
Val[Epoch: [75], mean_loss: 0.4349, mIoU: 0.7798, Acc: 0.9025, Acc_class: 0.8572, fwIoU: 0.8226, RRecall: 0.9467, RNum: 5.2]
Val[Epoch: [76], mean_loss: 0.4343, mIoU: 0.7864, Acc: 0.9050, Acc_class: 0.8645, fwIoU: 0.8274, RRecall: 0.9540, RNum: 5.2]
Val[Epoch: [77], mean_loss: 0.4330, mIoU: 0.7824, Acc: 0.9038, Acc_class: 0.8589, fwIoU: 0.8248, RRecall: 0.9470, RNum: 5.2]
Val[Epoch: [78], mean_loss: 0.4340, mIoU: 0.7775, Acc: 0.9018, Acc_class: 0.8538, fwIoU: 0.8212, RRecall: 0.9419, RNum: 5.2]
Val[Epoch: [79], mean_loss: 0.4326, mIoU: 0.7806, Acc: 0.9031, Acc_class: 0.8568, fwIoU: 0.8235, RRecall: 0.9442, RNum: 5.1]
Val[Epoch: [80], mean_loss: 0.4329, mIoU: 0.7857, Acc: 0.9046, Acc_class: 0.8640, fwIoU: 0.8268, RRecall: 0.9521, RNum: 5.2]
Val[Epoch: [81], mean_loss: 0.4314, mIoU: 0.7801, Acc: 0.9029, Acc_class: 0.8561, fwIoU: 0.8231, RRecall: 0.9429, RNum: 5.2]
Val[Epoch: [82], mean_loss: 0.4317, mIoU: 0.7860, Acc: 0.9051, Acc_class: 0.8633, fwIoU: 0.8273, RRecall: 0.9553, RNum: 5.2]
Val[Epoch: [83], mean_loss: 0.4322, mIoU: 0.7835, Acc: 0.9039, Acc_class: 0.8610, fwIoU: 0.8253, RRecall: 0.9521, RNum: 5.2]
